証券コード,33業種番号,33業種名,17業種番号,17業種名
64970,3600,機械,8,機械
32040,3100,繊維製品,4,素材・化学
41680,5250,情報･通信業,10,情報通信・サービスその他
94160,5250,情報･通信業,10,情報通信・サービスその他
59570,3550,金属製品,3,建設・資材
92600,6050,卸売業,13,商社・卸売
42840,5250,情報･通信業,10,情報通信・サービスその他
51390,5250,情報･通信業,10,情報通信・サービスその他
31970,6100,小売業,14,小売
70810,9050,サービス業,10,情報通信・サービスその他
44870,5250,情報･通信業,10,情報通信・サービスその他
53100,3400,ガラス･土石製品,3,建設・資材
37270,5250,情報･通信業,10,情報通信・サービスその他
52570,5250,情報･通信業,10,情報通信・サービスその他
68710,3650,電気機器,9,電機・精密
77760,3750,精密機器,9,電機・精密
95220,4050,電気･ガス業,11,電気・ガス
66190,3650,電気機器,9,電機・精密
98270,6050,卸売業,13,商社・卸売
77820,3750,精密機器,9,電機・精密
37750,,,,
64590,3600,機械,8,機械
52420,5250,情報･通信業,10,情報通信・サービスその他
43720,5250,情報･通信業,10,情報通信・サービスその他
17240,2050,建設業,3,建設・資材
43740,5250,情報･通信業,10,情報通信・サービスその他
31960,6100,小売業,14,小売
44810,5250,情報･通信業,10,情報通信・サービスその他
91450,5050,陸運業,12,運輸・物流
40200,5250,情報･通信業,10,情報通信・サービスその他
65920,3650,電気機器,9,電機・精密
52400,5250,情報･通信業,10,情報通信・サービスその他
44200,5250,情報･通信業,10,情報通信・サービスその他
43750,5250,情報･通信業,10,情報通信・サービスその他
79840,3800,その他製品,10,情報通信・サービスその他
92130,9050,サービス業,10,情報通信・サービスその他
42610,5250,情報･通信業,10,情報通信・サービスその他
34740,8050,不動産業,17,不動産
81650,6100,小売業,14,小売
61720,,,,
99730,6100,小売業,14,小売
27430,6050,卸売業,13,商社・卸売
92140,9050,サービス業,10,情報通信・サービスその他
44820,5250,情報･通信業,10,情報通信・サービスその他
43790,5250,情報･通信業,10,情報通信・サービスその他
40530,5250,情報･通信業,10,情報通信・サービスその他
21600,3250,医薬品,5,医薬品
50700,2050,建設業,3,建設・資材
91470,5050,陸運業,12,運輸・物流
93380,9050,サービス業,10,情報通信・サービスその他
40560,5250,情報･通信業,10,情報通信・サービスその他
42860,9050,サービス業,10,情報通信・サービスその他
93390,9050,サービス業,10,情報通信・サービスその他
44930,5250,情報･通信業,10,情報通信・サービスその他
92180,9050,サービス業,10,情報通信・サービスその他
24270,,,,
93450,9050,サービス業,10,情報通信・サービスその他
56100,3450,鉄鋼,7,鉄鋼・非鉄
52550,5250,情報･通信業,10,情報通信・サービスその他
45780,3250,医薬品,5,医薬品
63100,3600,機械,8,機械
36810,5250,情報･通信業,10,情報通信・サービスその他
37820,,,,
37580,5250,情報･通信業,10,情報通信・サービスその他
32440,,,,
78650,3800,その他製品,10,情報通信・サービスその他
25900,3050,食料品,1,食品
75900,6050,卸売業,13,商社・卸売
48130,5250,情報･通信業,10,情報通信・サービスその他
66960,3650,電気機器,9,電機・精密
78780,3800,その他製品,10,情報通信・サービスその他
33200,6050,卸売業,13,商社・卸売
69660,3650,電気機器,9,電機・精密
39550,3150,パルプ・紙,4,素材・化学
17580,2050,建設業,3,建設・資材
61840,9050,サービス業,10,情報通信・サービスその他
43800,5250,情報･通信業,10,情報通信・サービスその他
39310,5250,情報･通信業,10,情報通信・サービスその他
96920,5250,情報･通信業,10,情報通信・サービスその他
50750,,,,
34150,6100,小売業,14,小売
